timestamp,amount_lent,amount_used,rate
1473175965,3235.225575,2636.135339,13.6859
1473179551,3198.959658,2599.869422,13.5935
1473183160,3224.524704,2625.434469,13.5754
1473186775,3195.435611,2596.345376,13.4204
1473190374,3199.186811,2600.748346,13.4202
1473193952,3157.567079,2551.128614,13.345
1473197563,3181.761148,2574.7788,13.3758
1473201172,3208.220527,2601.238179,13.3165
1473204778,3225.763089,2618.780741,13.3206
1473208363,3216.959094,2609.976746,13.1374
1473211970,3216.830257,2609.847909,13.0176
1473215560,3221.102907,2614.120559,13.0159
1473219160,3249.243333,2572.390985,12.8153
1473222759,3252.466302,2575.613954,12.8152
1473226368,3252.633973,2575.781625,12.8152
1473229969,3252.885893,2576.033545,12.8171
1473233547,3241.094564,2564.242216,12.8043
1473237150,3258.719054,2581.866706,12.7924
1473240765,3314.086521,2637.234173,12.7469
1473244373,3328.566863,2651.714515,12.7417
1473247952,3334.966971,2658.114623,12.7225
1473251556,3447.516898,2770.66455,12.4842
1473255149,3605.182187,2928.329839,12.2602
1473258769,3645.426742,2968.574394,12.1391
1473262358,3653.808492,2976.956144,12.1137
1473265951,3652.291309,2975.438961,12.0648
1473269574,3657.437449,2980.596586,12.0394
1473273174,3788.687547,2978.981263,11.8853
1473276759,3791.759158,3037.951581,11.8615
1473280373,3799.903755,3133.567647,11.8191
1473283950,3822.346725,3212.22345,11.7615
1473287564,3836.030773,3287.05352,11.7106
1473291169,4616.792561,3271.876783,11.5583
1473294749,4645.70782,3318.158674,11.5444
1473298366,4843.19161,3330.040966,11.2782
1473301970,4841.599327,3359.96386,11.2751
1473305548,4834.055737,3356.497297,11.2944
1473309157,4834.241119,3356.682679,11.2851
1473312757,4836.913595,3359.355155,11.2836
1473316364,4836.182714,3358.624274,11.2835
1473319973,4857.808137,3381.009853,11.2562
1473323554,4894.891552,3418.141463,11.2273
1473327154,5323.777459,3792.307803,10.9831
1473330775,5638.28386,4121.587039,10.9335
1473334364,5639.066578,4124.297567,10.8923
1473337963,5638.148369,4123.379358,10.8249
1473341557,5646.517997,4131.748985,10.8001
1473345173,5631.540598,4116.771587,10.7838
1473348780,5553.038522,4134.019247,10.714
1473352356,5377.912786,4143.349263,9.9071
1473355984,5320.257712,4101.308622,9.8748
1473359556,5320.344533,4107.769833,9.8538
1473363155,5342.421241,4129.846542,9.8367
1473366769,5272.140305,4063.822762,9.8163
1473370375,5281.346031,4074.270962,9.7871
1473373953,5302.321949,4096.414811,9.7815
1473377567,5368.068553,4109.038037,9.7177
1473381170,5310.168086,4154.324826,9.643
1473384782,5311.352882,4154.581533,9.64
1473388365,5313.040312,4151.5565,9.6369
1473391975,5312.904452,4151.42064,9.6366
1473395576,5311.601496,4150.117684,9.6336
1473399182,5312.250134,4156.450282,9.6336
1473402767,5362.982476,4205.112623,9.632
1473406357,5391.519402,4233.649549,9.5721
